date | value
2009-01-02 | 1
2009-01-03 | 2
2011-01-03 | 3
2011-01-03 | 1.2
2011-01-09 | 1
2012-02-29 | 42
2011-02-29 | 5
2008-12-31 | 5
2012-01-11 | 999.99
2012-01-11 | 0
2012-01-11 | 1001
2012-01-11 | -1
2012-01-11 | 2147483647
2012-01-11 | 2147483648
2012-01-11 | abc
2012-01-11 | 
2012-01-11 |    7
2012-01-11 | 7.5abc
2012-01-11
2012-01-11 | 7 | 3
2001-42-42 | 5
2012-13-01 | 5
2012-00-01 | 5
2012-01-32 | 5
2012-01-15 | 10
2012-01-16 | 123
2012-01-17 | 42
2012-01-18 | 7
2012-01-19 | 99
2012-01-20 | 2147483646
    2012-01-21   |   5
2012-01-22 | +5
2012-01-23 | 5e2
2012-01-24 | 0.0001
not-a-date | 8
2012/01/25 | 8
2012-01-26|5
